author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Спартак;developer;https://www.cian.ru/sale/flat/297680770/;Москва;sale;flat;13;14;1;108.0;27594000;2023;-1;-1;-1;Без отделки;23,9 м²;68 м²;+74951387039;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
GLINCOM;official_representative;https://www.cian.ru/sale/flat/308877164/;Москва;sale;flat;4;8;1;60.1;25242000;2024;-1;-1;-1;-1;-1;20 м²;+79856607107;Савеловский; Верхняя Масловка;20;Петровский Парк;Verdi
