author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306448085/;Москва;sale;flat;9;16;1;19.0;6000000;1980;-1;-1;-1;-1;14 м²;3 м²;+79175822386;Отрадное;Алтуфьевское шоссе;2;Владыкино;
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;9,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Москва;sale;flat;22;32;1;37.35;17780000;2023;-1;-1;-1;-1;-1;10 м²;+79151955844;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Среда;developer;https://www.cian.ru/sale/flat/303859440/;Москва;sale;flat;3;13;1;35.3;14768813;2027;-1;Монолитный;-1;Предчистовая;21,1 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Москва;sale;flat;4;15;1;53.36;13950000;2015;-1;-1;-1;-1;21,4 м²;11,4 м²;+79164725525;; Татьянин Парк;16к1;Говорово;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/306297489/;Москва;sale;flat;3;15;1;54.0;14800000;2016;-1;-1;-1;-1;30 м²;12 м²;+79858789283;; Татьянин Парк;14к2;Говорово;Татьянин Парк
