author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/306546518/;Москва;sale;flat;11;12;1;30.0;8000000;-1;-1;-1;-1;-1;10 м²;12 м²;+79660530610;; Логинова;5к1;Щербинка;Остафьево
MR Group;developer;https://www.cian.ru/sale/flat/300287763/;Москва;sale;flat;6;43;1;37.36;22442152;2025;-1;Монолитный;-1;Предчистовая, чистовая;10,6 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
