author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
КРОСТ;developer;https://www.cian.ru/sale/flat/296745539/;Москва;sale;flat;21;28;1;36.9;18117900;2026;-1;Монолитный;-1;Без отделки;12,4 м²;13,2 м²;+74997153994;Хорошево-Мневники; Генерала Глаголева;;Народное Ополчение;CRYSTAL Трилогия
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20500000;2024;-1;-1;-1;Чистовая;15,7 м²;9,7 м²;+79652548528;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/306034275/;Москва;sale;flat;4;4;1;20.0;7700000;1935;-1;-1;-1;-1;13 м²;3 м²;+79175822386;Даниловский;2-я Рощинская ;10;Тульская;
