author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Группа Родина;developer;https://www.cian.ru/sale/flat/305467910/;Москва;sale;flat;2;23;2;61.0;31127000;2026;-1;Монолитно-кирпичный;-1;Без отделки;26,4 м²;17,2 м²;+74951374518;Ростокино;;к6;Ботанический сад;Союз ЖК
ID 109135729;realtor;https://www.cian.ru/sale/flat/307434429/;Москва;sale;flat;3;21;2;59.2;61000000;-1;-1;-1;-1;-1;31,7 м²;22,5 м²;+79175748350;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306600530/;Москва;sale;flat;8;37;2;48.2;29000000;2023;-1;-1;-1;-1;37,1 м²;5 м²;+79660472653;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305738210/;Москва;sale;flat;18;79;2;71.8;48000000;2019;-1;-1;-1;-1;40 м²;20 м²;+79652685525;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/307089602/;Москва;sale;flat;31;40;2;79.1;30500000;-1;-1;-1;-1;-1;-1;10 м²;+79623620296;Ховрино; Дыбенко;38к1;Ховрино;
