author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Основа;developer;https://www.cian.ru/sale/flat/287742395/;Москва;sale;flat;3;20;2;34.8;9570000;2024;-1;Монолитный;-1;Без отделки, черновая;27,1 м²;2,7 м²;+74951370493;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
СИСТЕМА;real_estate_agent;https://www.cian.ru/sale/flat/308476977/;Москва;sale;flat;17;22;2;41.4;9600000;2023;-1;-1;-1;-1;23 м²;12,1 м²;+79166033221;;;;Новомосковская;
А101;developer;https://www.cian.ru/sale/flat/306746092/;Москва;sale;flat;4;19;2;49.6;9575369;2025;-1;-1;-1;Без отделки;24,3 м²;10,8 м²;+74951344536;;;7.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743701/;Москва;sale;flat;14;23;2;37.0;9576498;2025;-1;-1;-1;Без отделки;20,5 м²;7,2 м²;+74951374415;;;;Новомосковская;Дзен-кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308652517/;Москва;sale;flat;12;16;2;32.17;9703460;2027;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;20,1 м²;5 м²;+74951345087;Бирюлево Восточное;;к2;Орехово;Квартал Герцена ЖК
