author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303954949/;Москва;sale;flat;34;54;2;67.01;25990000;2027;-1;-1;-1;-1;-1;10,6 м²;+79031491526;Хорошево-Мневники;3-й Силикатный проезд;10;Хорошёво;JOIS
Ярославна Слинько;realtor;https://www.cian.ru/sale/flat/307085818/;Москва;sale;flat;8;16;2;61.9;26350000;2023;-1;-1;-1;-1;-1;22 м²;+79100007251;Лефортово;Золоторожский проезд;3;Серп и Молот;MONODOM FAMILY
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/308849874/;Москва;sale;flat;2;16;2;75.2;26300000;2011;-1;-1;-1;-1;28 м²;15,4 м²;+79067886640;Теплый Стан; Академика Виноградова;1;Генерала Тюленева;Тёплый Край
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307687672/;Москва;sale;flat;9;12;2;70.1;26400000;-1;-1;-1;-1;-1;-1;12 м²;+79651078974;Богородское;Погонный проезд;3ак6;Белокаменная;Лосиный остров
Лобстер Групп;real_estate_agent;https://www.cian.ru/sale/flat/303304703/;Москва;sale;flat;2;6;2;54.9;29000000;1959;-1;-1;-1;-1;-1;-1;+79855838790;Басманный;Старокирочный переулок;16/2С1;Бауманская;
