author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
PIONEER;developer;https://www.cian.ru/sale/flat/306809960/;Москва;sale;flat;2;22;1;31.4;17903652;2025;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370687;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/306875192/;Москва;sale;flat;6;6;2;96.0;257000000;-1;-1;-1;-1;-1;55 м²;15,9 м²;+79660615407;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306509259/;Москва;sale;flat;23;42;1;41.0;25000000;2023;-1;-1;-1;-1;27 м²;5 м²;+79854040807;Котловка;Севастопольский проспект;22А;Крымская;Eniteo
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307143899/;Москва;sale;flat;25;49;2;93.6;39500000;2025;-1;-1;-1;Без отделки;70 м²;18 м²;+79854040807;Проспект Вернадского; Лобачевского;;Проспект Вернадского;Событие
