author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Апрелевка С2;developer;https://www.cian.ru/sale/flat/301203142/;Москва;sale;flat;2;3;1;35.6;6550400;2023;-1;-1;-1;Без отделки;-1;-1;+74951374087;ТАО (Троицкий); Генерала Донскова;27к5;;Борисоглебское
Самолет;developer;https://www.cian.ru/sale/flat/308648349/;Москва;sale;flat;11;14;1;34.44;6632430;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11 м²;11,5 м²;+74951374063;;;к22;Щербинка;Остафьево ЖК
А101;developer;https://www.cian.ru/sale/flat/306745457/;Москва;sale;flat;4;9;1;32.5;6744144;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951375220;;;2;Толстопальцево;Родные кварталы ЖК
ИПОМАКС;real_estate_agent;https://www.cian.ru/sale/flat/297593550/;Москва;sale;flat;5;5;2;43.2;6900000;1982;-1;-1;-1;-1;29,4 м²;7,3 м²;+79660479203;;;12;Апрелевка;
