author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/308012949/;Москва;sale;flat;9;34;2;68.2;52000000;-1;-1;-1;-1;-1;-1;25,1 м²;+79852894083;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
ID 413522;realtor;https://www.cian.ru/sale/flat/306989057/;Москва;sale;flat;17;21;2;87.3;52000000;-1;-1;-1;-1;-1;41,7 м²;15,9 м²;+79154662536;Раменки;Мосфильмовская ;88к1;Раменки;Мосфильмовский
ID 413522;realtor;https://www.cian.ru/sale/flat/307575776/;Москва;sale;flat;12;21;2;86.3;52500000;-1;-1;-1;-1;-1;42,1 м²;16,2 м²;+79154662536;Раменки;Мосфильмовская ;88к1;Раменки;Мосфильмовский
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/300301422/;Москва;sale;flat;21;65;2;51.7;70000000;-1;-1;-1;-1;-1;19 м²;25 м²;+79647887587;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити;Capital Towers
