author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;28 м²;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;2020;-1;-1;-1;-1;-1;-1;+79651189398;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;1972;-1;-1;-1;-1;17 м²;7 м²;+79163568699;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
