author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет Плюс г. Электросталь;real_estate_agent;https://elektrostal.cian.ru/sale/flat/308065779/;Электросталь;sale;flat;5;11;2;69.0;8700000;-1;-1;-1;-1;-1;37 м²;8 м²;+79660478565;мкр. Юго-Западный;бульвар 60-летия Победы;4Б;;60-летия Победы 4Б
ID 75773893;realtor;https://elektrostal.cian.ru/sale/flat/307020087/;Электросталь;sale;flat;10;10;2;56.6;8750000;2013;-1;-1;-1;-1;28,8 м²;13,5 м²;+79150240076;мкр. Юго-Западный;бульвар 60-летия Победы;12;;
Самолет Плюс г. Электросталь;real_estate_agent;https://elektrostal.cian.ru/sale/flat/305565967/;Электросталь;sale;flat;8;10;3;67.4;8100000;-1;-1;-1;-1;-1;43 м²;7,5 м²;+79660478565;мкр. Южный; Тевосяна;40а;;
Самолет Плюс г. Электросталь;real_estate_agent;https://elektrostal.cian.ru/sale/flat/308466995/;Электросталь;sale;flat;13;15;3;87.0;14500000;-1;-1;-1;-1;-1;50 м²;14 м²;+79660478565;мкр. Южный; Мира;22Б;;
