author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
;;https://www.cian.ru/sale/flat/309057144/;Москва;sale;flat;18;28;2;45.86;23645947;2026;-1;Монолитный;-1;Без отделки;-1;-1;+74992851165;Замоскворечье;Дубининская ;;Павелецкая;MYPRIORITY Paveletskaya
ID 197067;realtor;https://www.cian.ru/sale/flat/309057087/;Москва;sale;flat;5;41;4;97.14;45500000;2024;-1;-1;-1;Без отделки;-1;-1;+79857781360;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/309057054/;Москва;sale;flat;29;33;3;95.0;58000000;2024;-1;-1;-1;-1;61,8 м²;11,5 м²;+79670389607;Даниловский;Дубининская ;59к8;Серпуховская;Павелецкая Сити
Level Group;developer;https://www.cian.ru/sale/flat/309056915/;Москва;sale;flat;40;48;2;44.7;18715087;2028;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;39,7 м²;-1;+74951374351;Хорошево-Мневники;;;Народное Ополчение;Левел Звенигородская ЖК
Брусника;developer;https://www.cian.ru/sale/flat/309055715/;Москва;sale;flat;12;29;2;46.2;17120000;2027;-1;Монолитно-кирпичный;-1;Предчистовая;14,2 м²;15,3 м²;+74951375043;Нижегородский;;;Нижегородская;Квартал Издание ЖК
