author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/309053859/;Москва;sale;flat;3;9;4;63.0;18500000;1970;-1;-1;-1;-1;46 м²;6 м²;+79645660338;Хорошево-Мневники;проспект Маршала Жукова;16К1;Народное Ополчение;
ID 20820960;real_estate_agent;https://www.cian.ru/sale/flat/309053843/;Москва;sale;flat;6;17;1;39.0;11600000;-1;-1;-1;-1;-1;19 м²;8 м²;+79660471243;Орехово-Борисово Северное; Маршала Захарова;12К3;Орехово;
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/309053827/;Москва;sale;flat;35;53;4;173.0;170000000;-1;-1;-1;-1;-1;118 м²;50 м²;+79152675106;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
ID 237024;homeowner;https://www.cian.ru/sale/flat/309052361/;Москва;sale;flat;2;5;1;34.0;15500000;1957;-1;-1;-1;-1;20 м²;7 м²;+79660635502;Беговой;Ленинградский проспект;33к7;Динамо;
Эверест;real_estate_agent;https://www.cian.ru/sale/flat/309052260/;Москва;sale;flat;8;10;3;72.5;23700000;2024;-1;-1;-1;-1;45 м²;11,5 м²;+79645640353;Измайлово;Сиреневый бульвар;4/7;Партизанская;
