author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/309051051/;Москва;sale;flat;20;20;1;39.0;10622576;2027;-1;Панельный, монолитный;-1;Без отделки, чистовая;11,8 м²;-1;+74951475836;;;3;Филатов Луг;Город-парк Первый Московский
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/309051012/;Москва;sale;flat;19;20;3;80.8;18174305;2027;-1;Панельный, монолитный;-1;Без отделки, чистовая;41,2 м²;-1;+74951475836;;;3;Филатов Луг;Город-парк Первый Московский
ID 23289950;realtor;https://www.cian.ru/sale/flat/309050938/;Москва;sale;flat;4;33;2;52.0;27000000;2023;-1;-1;-1;-1;-1;10 м²;+79175063842;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/309049719/;Москва;sale;flat;5;5;2;43.4;11000000;1962;-1;-1;-1;-1;25,8 м²;6 м²;+79672094035;Перово;2-я Владимирская ;16К2;Перово;
